"region","population"
"0114 Upplands Väsby",41449
"0115 Vallentuna",31616
"0117 Österåker",40495
"0120 Värmdö",39784
"0123 Järfälla",69167
"0125 Ekerö",26355
"0126 Huddinge",102557
"0127 Botkyrka",87580
"0128 Salem",16001
"0136 Haninge",80932
"0138 Tyresö",44281
"0139 Upplands-Bro",24703
"0140 Nykvarn",9523
"0160 Täby",66292
"0162 Danderyd",32222
"0163 Sollentuna",68145
"0180 Stockholm",897700
"0181 Södertälje",91072
"0182 Nacka",94423
"0183 Sundbyberg",42626
"0184 Solna",72740
"0186 Lidingö",45178
"0187 Vaxholm",11188
"0188 Norrtälje",56845
"0191 Sigtuna",43372
"0192 Nynäshamn",26796
"0305 Håbo",19968
"0319 Älvkarleby",9132
"0330 Knivsta",15580
"0331 Heby",13450
"0360 Tierp",20144
"0380 Uppsala",205199
"0381 Enköping",40656
"0382 Östhammar",21352
"0428 Vingåker",8835
"0461 Gnesta",10409
"0480 Nyköping",53038
"0481 Oxelösund",11403
"0482 Flen",16156
"0483 Katrineholm",32930
"0484 Eskilstuna",99729
"0486 Strängnäs",33389
"0488 Trosa",11680
"0509 Ödeshög",5174
"0512 Ydre",3617
"0513 Kinda",9802
"0560 Boxholm",5278
"0561 Åtvidaberg",11460
"0562 Finspång",20903
"0563 Valdemarsvik",7585
"0580 Linköping",150202
"0581 Norrköping",133749
"0582 Söderköping",14195
"0583 Motala",42187
"0584 Vadstena",7383
"0586 Mjölby",26313
"0604 Aneby",6375
"0617 Gnosjö",9406
"0642 Mullsjö",7039
"0643 Habo",10975
"0662 Gislaved",28713
"0665 Vaggeryd",13209
"0680 Jönköping",130798
"0682 Nässjö",29516
"0683 Värnamo",33155
"0684 Sävsjö",10969
"0685 Vetlanda",26419
"0686 Eksjö",16464
"0687 Tranås",18197
"0760 Uppvidinge",9288
"0761 Lessebo",8059
"0763 Tingsryd",12156
"0764 Alvesta",19280
"0765 Älmhult",15759
"0767 Markaryd",9515
"0780 Växjö",85822
"0781 Ljungby",27277
"0821 Högsby",5718
"0834 Torsås",6879
"0840 Mörbylånga",14368
"0860 Hultsfred",13635
"0861 Mönsterås",12949
"0862 Emmaboda",8964
"0880 Kalmar",63887
"0881 Nybro",19489
"0882 Oskarshamn",26212
"0883 Västervik",35867
"0884 Vimmerby",15287
"0885 Borgholm",10619
"0980 Gotland",57161
"1060 Olofström",12902
"1080 Karlskrona",63912
"1081 Ronneby",27871
"1082 Karlshamn",31272
"1083 Sölvesborg",16800
"1214 Svalöv",13332
"1230 Staffanstorp",22672
"1231 Burlöv",17114
"1233 Vellinge",33807
"1256 Östra Göinge",13687
"1257 Örkelljunga",9653
"1260 Bjuv",14801
"1261 Kävlinge",29600
"1262 Lomma",22496
"1263 Svedala",20067
"1264 Skurup",15025
"1265 Sjöbo",18401
"1266 Hörby",14917
"1267 Höör",15637
"1270 Tomelilla",12891
"1272 Bromölla",12336
"1273 Osby",12713
"1275 Perstorp",7139
"1276 Klippan",16715
"1277 Åstorp",14927
"1278 Båstad",14275
"1280 Malmö",312994
"1281 Lund",114291
"1282 Landskrona",43073
"1283 Helsingborg",132989
"1284 Höganäs",25084
"1285 Eslöv",31920
"1286 Ystad",28623
"1287 Trelleborg",42837
"1290 Kristianstad",81009
"1291 Simrishamn",18951
"1292 Ängelholm",39866
"1293 Hässleholm",50227
"1315 Hylte",10001
"1380 Halmstad",94084
"1381 Laholm",23517
"1382 Falkenberg",41912
"1383 Varberg",59936
"1384 Kungsbacka",77390
"1401 Härryda",35732
"1402 Partille",36147
"1407 Öckerö",12574
"1415 Stenungsund",24932
"1419 Tjörn",15050
"1421 Orust",15036
"1427 Sotenäs",8928
"1430 Munkedal",10205
"1435 Tanum",12303
"1438 Dals-Ed",4740
"1439 Färgelanda",6520
"1440 Ale",28074
"1441 Lerum",39319
"1442 Vårgårda",11065
"1443 Bollebygd",8562
"1444 Grästorp",5641
"1445 Essunga",5494
"1446 Karlsborg",6757
"1447 Gullspång",5185
"1452 Tranemo",11531
"1460 Bengtsfors",9550
"1461 Mellerud",8892
"1462 Lilla Edet",12829
"1463 Mark",33753
"1465 Svenljunga",10299
"1466 Herrljunga",9274
"1470 Vara",15609
"1471 Götene",13028
"1472 Tibro",10754
"1473 Töreboda",8992
"1480 Göteborg",533271
"1481 Mölndal",61978
"1482 Kungälv",42109
"1484 Lysekil",14369
"1485 Uddevalla",53025
"1486 Strömstad",12480
"1487 Vänersborg",37369
"1488 Trollhättan",56573
"1489 Alingsås",38619
"1490 Borås",105995
"1491 Ulricehamn",23211
"1492 Åmål",12229
"1493 Mariestad",23870
"1494 Lidköping",38414
"1495 Skara",18580
"1496 Skövde",52859
"1497 Hjo",8805
"1498 Tidaholm",12565
"1499 Falköping",31988
"1715 Kil",11810
"1730 Eda",8426
"1737 Torsby",12013
"1760 Storfors",4131
"1761 Hammarö",15136
"1762 Munkfors",3656
"1763 Forshaga",11292
"1764 Grums",8925
"1765 Årjäng",9953
"1766 Sunne",13011
"1780 Karlstad",87786
"1781 Kristinehamn",23949
"1782 Filipstad",10563
"1783 Hagfors",12071
"1784 Arvika",25817
"1785 Säffle",15276
